country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","02-07-2026 14:00:00",25.697189,85.2459,OZONE,24,62,41
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","02-07-2026 14:00:00",26.0881305,87.93840336,SO2,3,11,6
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","02-07-2026 14:00:00",27.308328,84.531742,OZONE,29,31,30
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","02-07-2026 14:00:00",22.1910172,83.5197009,CO,19,32,25
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","02-07-2026 14:00:00",22.1910172,83.5197009,OZONE,66,112,91
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","02-07-2026 14:00:00",21.371751,81.664929,NO2,1,14,6
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","02-07-2026 14:00:00",21.371751,81.664929,SO2,0,34,12
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","02-07-2026 14:00:00",21.219665,81.630094,PM2.5,5,17,10
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","02-07-2026 14:00:00",21.219665,81.630094,CO,14,24,21
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","02-07-2026 14:00:00",21.258815,81.578979,OZONE,5,18,11
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","02-07-2026 14:00:00",22.06631475,83.33820077,PM2.5,15,64,34
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","02-07-2026 14:00:00",28.493624,77.201159,NO2,7,31,14
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","02-07-2026 14:00:00",26.1403345,85.3650192,NH3,0,0,0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","02-07-2026 14:00:00",26.1209,85.3647,CO,21,56,37
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","02-07-2026 14:00:00",25.599486,85.113666,OZONE,27,33,30
